state,total-pop,white-pop,black-pop,native-pop,asian-pop,hawaii-pop,other-race-pop,multi-race-pop,indian-pop,bangladeshi-pop,cambodian-pop,chinese-pop,filipino-pop,hmong-pop,indonesian-pop,japanese-pop,korean-pop,laotian-pop,malaysian-pop,pakistani-pop,sri-lankan-pop,taiwanese-pop,thai-pop,vietnamese-pop,other-asian-pop,other-not-specified-pop
Alabama,4817678,3327891,1269808,25181,58322,1430,58618,76428,12714,416,808,11097,5181,174,326,1541,9638,1315,119,1747,304,277,1023,9363,1546,733
Alaska,728300,484195,25148,102743,40976,8335,8382,58521,720,371,204,2091,20909,4182,88,1886,4858,1720,61,151,47,20,993,862,1524,289
Arizona,6561516,5174082,274380,290780,191071,12638,418033,200532,39488,1288,2468,36821,36052,400,878,10029,15602,2237,233,2710,221,1149,4088,25649,9480,2278
Arkansas,2947036,2306073,458136,18337,38409,6278,60565,59238,8826,254,385,5930,5023,1380,338,924,1950,4249,80,949,164,142,716,5752,816,531
California,38066920,23650913,2262323,287360,5130536,147286,4890329,1698173,595717,8725,96017,1285536,1222249,91021,27911,277802,461748,63896,3353,50246,11659,67485,52156,622385,164601,28029
Colorado,5197580,4364911,209062,49917,146561,6641,240282,180206,21034,200,2735,27051,13818,3803,1498,10819,21963,2289,211,1577,158,822,2766,23933,8974,2910
Connecticut,3592053,2789105,365871,8036,145842,1105,183297,98797,49669,2494,2709,33787,13201,9,256,3852,9545,3973,109,6809,741,949,1455,9492,5012,1780
Delaware,917060,639354,198028,3134,31745,494,20369,23936,13354,137,35,7013,3596,0,65,492,1983,142,42,1917,35,377,171,1386,676,324
District of Columbia,633736,254955,314138,2072,22785,195,23999,15592,5116,229,118,5981,2753,38,205,1310,2536,48,110,632,228,447,555,1560,753,166
Florida,19361792,14747196,3114841,59121,490833,12128,484274,453399,132347,5039,5576,82158,92454,1587,2359,13641,26010,5496,649,16258,1324,3440,12587,71784,11864,6260
Georgia,9907756,5989234,3056726,25137,344195,4317,287276,200871,102911,4501,4776,51204,21381,3622,2521,8224,53492,5894,398,9568,1458,3146,4523,49251,13225,4100
